model,precision,arm,norm,a,b,n_sig_positive,n_sig_negative,k_sets,pooled,ci_low,ci_high,tau2,I2,n_positive
whisper-small,,sample,whisper,conf,rover_freq,0,4,7,-2.852130617902125,-4.439594932217508,-1.264666303586742,2.423456311919294,0.6719416937838948,1
whisper-small,,sample,whisper,first,conf,3,0,7,1.3929780209793883,0.03787529512961885,2.7480807468291575,1.6289938296682462,0.66582058428961,4
whisper-small,,sample,whisper,first,rover_cg,0,4,7,-1.7851866653983623,-2.86454485642531,-0.7058284743714145,1.448780723158504,0.7810470970983805,0
whisper-small,,sample,whisper,mbr,rover_cg,0,7,7,-2.71298081271305,-3.795662213944163,-1.6302994114819371,1.8972953675841129,0.9198089233923259,0
whisper-small,,sample,whisper,rover_freq,rover_cg,0,1,7,-0.0072682860880289805,-0.1585833349160982,0.14404676274004022,0.013984371626450241,0.3768229054026442,4
whisper-turbo,,beam,legacy,cm05,rover_cg,0,2,7,-0.1626394646193654,-0.3809153046034448,0.05563637536471397,0.05629054538912828,0.7355511516928476,2
whisper-turbo,,beam,legacy,conf,mbr,0,0,7,0.008066393505984475,-0.11856115988203961,0.13469394689400857,0.0,0.0,4
whisper-turbo,,beam,legacy,conf,rover_c,0,0,7,0.009904198333371458,-0.10652828742333598,0.1263366840900789,0.0,0.0,3
whisper-turbo,,beam,legacy,conf,rover_cg,0,0,7,-0.008805205804079811,-0.13636452039324204,0.11875410878508241,0.0015989192484852032,0.049662398203479,4
whisper-turbo,,beam,legacy,conf,rover_freq,0,1,7,-0.02634597253291469,-0.18638380027529142,0.13369185520946206,0.013742142211041806,0.3265717458861754,4
whisper-turbo,,beam,legacy,first,conf,0,1,7,0.00714411783338317,-0.11644368318981407,0.13073191885658042,0.008860307951728886,0.3397436182538004,4
whisper-turbo,,beam,legacy,first,rover_cg,0,1,7,0.00039033948340253834,-0.1637247805857106,0.16450545955251566,0.01610991726255703,0.3650561478129986,4
whisper-turbo,,beam,legacy,mbr,rover_cg,0,2,7,-0.13220298142108372,-0.36872655321336106,0.10432059037119362,0.07102424795343758,0.7730398827461444,3
whisper-turbo,,beam,legacy,rover_freq,rover_cg,1,1,7,-0.07406621755543552,-0.28430942330624376,0.1361769881953727,0.056738355405299506,0.7768931923666847,3
whisper-turbo,,beam,whisper,cm05,rover_cg,0,7,7,-3.7698144620400305,-5.1336129297264925,-2.406015994353568,3.1634798994154547,0.9535722940925043,0
whisper-turbo,,beam,whisper,conf,mbr,1,1,7,0.0027291338710174564,-0.24160908632782488,0.24706735406985977,0.06005543268698903,0.6941316323762836,5
whisper-turbo,,beam,whisper,conf,rover_c,0,7,7,-2.8890669138342675,-3.6989181192744973,-2.0792157083940377,0.8543545220218586,0.8283061783683617,0
whisper-turbo,,beam,whisper,conf,rover_cg,0,7,7,-2.9022901948320916,-3.6886733022951015,-2.1159070873690817,0.7964985645216155,0.8209917876183309,0
whisper-turbo,,beam,whisper,conf,rover_freq,0,7,7,-3.0282982539516343,-3.9079758208734017,-2.148620687029867,1.0396984088654628,0.8538369334417367,0
whisper-turbo,,beam,whisper,first,conf,1,2,7,0.012991370036433053,-0.1521697518416799,0.17815249191454602,0.027074853422944127,0.6443223665205872,4
whisper-turbo,,beam,whisper,first,rover_cg,0,7,7,-2.8574583270029335,-3.6050031981866075,-2.1099134558192594,0.7061776937261423,0.8071949090748086,0
whisper-turbo,,beam,whisper,mbr,rover_cg,0,7,7,-3.6983177490805415,-5.028181639234463,-2.3684538589266206,2.9983241130720115,0.9515679418898224,0
whisper-turbo,,beam,whisper,rover_freq,rover_cg,1,1,7,0.028083315065678384,-0.15878502253929352,0.21495165267065028,0.04222899851548112,0.7482053352898314,5
whisper-turbo,,greedy,whisper,cm05,rover_cg,0,7,7,-3.3995326279172127,-4.561515816624183,-2.237549439210242,2.2647437244213693,0.9420347303401149,0
whisper-turbo,,greedy,whisper,conf,rover_c,0,7,7,-3.3995326279172127,-4.561515816624183,-2.237549439210242,2.2647437244213693,0.9420347303401149,0
whisper-turbo,,greedy,whisper,conf,rover_cg,0,7,7,-3.3995326279172127,-4.561515816624183,-2.237549439210242,2.2647437244213693,0.9420347303401149,0
whisper-turbo,,greedy,whisper,conf,rover_freq,0,7,7,-3.3995326279172127,-4.561515816624183,-2.237549439210242,2.2647437244213693,0.9420347303401149,0
whisper-turbo,,greedy,whisper,first,rover_cg,0,7,7,-3.3995326279172127,-4.561515816624183,-2.237549439210242,2.2647437244213693,0.9420347303401149,0
whisper-turbo,,greedy,whisper,mbr,rover_cg,0,7,7,-3.3995326279172127,-4.561515816624183,-2.237549439210242,2.2647437244213693,0.9420347303401149,0
whisper-turbo,,sample,legacy,cm05,rover_cg,0,0,7,0.027858516420628327,-0.05828123002794687,0.11399826286920352,0.0,0.0,5
whisper-turbo,,sample,legacy,conf,mbr,0,0,7,-0.12307366028976016,-0.3184358155416577,0.07228849496213732,0.0,0.0,2
whisper-turbo,,sample,legacy,conf,rover_c,1,0,7,-0.05259699582253857,-0.2346265437445749,0.12943255209949775,0.0,0.0,2
whisper-turbo,,sample,legacy,conf,rover_cg,0,0,7,0.025812664897943892,-0.18381540904391477,0.23544073883980257,0.009928797480103281,0.1115599271694438,4
whisper-turbo,,sample,legacy,conf,rover_freq,0,0,7,-0.12543167895895221,-0.3136270150970293,0.06276365717912488,0.0,0.0,2
whisper-turbo,,sample,legacy,first,conf,5,0,7,0.8399486564093166,0.37631766428235447,1.3035796485362787,0.17766769850891254,0.5456255064170565,6
whisper-turbo,,sample,legacy,first,rover_cg,4,0,7,0.8810356377074257,0.3972620579418139,1.3648092174730375,0.2911803181907174,0.7847616797541944,7
whisper-turbo,,sample,legacy,mbr,rover_cg,2,0,7,0.1001586904548221,0.0036147734867591763,0.19670260742288503,0.0017098148127796635,0.09638790554924745,6
whisper-turbo,,sample,legacy,rover_freq,rover_cg,1,1,7,0.08276500969155631,-0.08171758947463761,0.24724760885775024,0.028437877154438736,0.6454321692665862,5
whisper-turbo,,sample,whisper,cm05,rover_cg,0,7,7,-3.4036108782578647,-4.620547651105844,-2.1866741054098853,2.454050160884657,0.9402128604663245,0
whisper-turbo,,sample,whisper,conf,mbr,0,0,7,-0.14008240975293187,-0.34390891026966186,0.06374409076379808,0.0,0.0,2
whisper-turbo,,sample,whisper,conf,rover_c,0,5,7,-3.466568128748805,-5.010887062447487,-1.9222491950501235,3.7631547381076627,0.9310078069296558,0
whisper-turbo,,sample,whisper,conf,rover_cg,0,6,7,-3.429530562179238,-4.991351599542144,-1.8677095248163327,3.8604531970649223,0.9327060263507204,0
whisper-turbo,,sample,whisper,conf,rover_freq,0,6,7,-3.5112438762273124,-4.966721690506188,-2.055766061948437,3.3279442559535526,0.9235008335248984,0
whisper-turbo,,sample,whisper,first,conf,5,0,7,0.854487597762771,0.3712739173385416,1.3377012781870004,0.21735154423712252,0.6221562747109788,6
whisper-turbo,,sample,whisper,first,rover_cg,0,5,7,-2.429322517181296,-3.533057068467896,-1.3255879658946959,1.895737818832655,0.8982544645639884,0
whisper-turbo,,sample,whisper,mbr,rover_cg,0,7,7,-3.224618245907336,-4.453102639436606,-1.9961338523780658,2.5201305973761565,0.940236005702097,0
whisper-turbo,,sample,whisper,rover_freq,rover_cg,1,1,7,0.08676977232558965,-0.07118872475242684,0.24472826940360615,0.02615840764320445,0.6575594179995892,5
